"Participant.Public.ID","sur_rate","hap_rate","ang_rate","amb_rate","pos_rate","neg_rate","amw_rate","pow_rate","new_rate","all_amb_rate","all_pos_rate","all_neg_rate","sur_rt","hap_rt","ang_rt","amb_rt","pos_rt","neg_rt","amw_rt","pow_rt","new_rt","sur_neg_rt","sur_pos_rt","amb_neg_rt","amb_pos_rt","amw_neg_rt","amw_pos_rt","face_bad","iaps_bad","word_bad","bad","sex","age","race","Participant.Completion.Code"
"01uh8i8r",0.291666666666667,0.0833333333333333,0.818181818181818,0.391304347826087,0,1,0.481481481481481,0.0625,1,0.391891891891892,0.05,0.947368421052632,726.783333331696,611.853333333177,658.49499999736,754.168478262094,705.618750002031,649.315000001176,745.914259257174,672.267500000089,679.034666664666,678.396428569353,746.707352939719,718.295000003612,777.22999999969,719.161153841504,770.756428571726,0,0,0,0,"Female",23,"Hispanic or Latino","cekhdw"
"0jepq2m5",0.916666666666667,0,1,0.333333333333333,0,1,0.407407407407407,0,0.923076923076923,0.546666666666667,0,0.972222222222222,771.137291664975,791.873750010079,678.000833329861,1011.97708333105,914.125833349923,898.724090916486,985.40814814839,868.936562503223,951.475769236612,754.811136361571,950.725000002421,1013.72187500237,1011.10468749539,993.432727271945,979.891250000946,0,0,0,0,"Female",51,"White - not of Hispanic Origin","plngbl"
"15ansyby",0.545454545454545,0,0.833333333333333,0.619047619047619,0.166666666666667,0.909090909090909,0.482758620689655,0,1,0.541666666666667,0.05,0.923076923076923,657.760454553433,563.710416676865,633.517083343274,641.675952372939,599.817916673298,617.168181808665,722.943448272919,627.039687518845,589.254687496577,606.807083337723,718.904500012286,602.05115385067,706.066249971627,710.709642851725,734.361666666033,0,0,0,0,"Female",54,"White - not of Hispanic Origin","apzawz"
"16j9g5bb",0.0833333333333333,0.0833333333333333,0.916666666666667,0.181818181818182,0,0.818181818181818,0.551724137931034,0,1,0.293333333333333,0.025,0.921052631578947,660.020833333116,591.899999998835,598.708333333586,788.713636363272,693.67499999953,699.727272727283,798.865517241462,696.787500000255,690.31999999958,654.899999999543,660.486363636168,805.999999999586,784.872222221869,780.725000000075,821.1923076924,0,0,0,0,"Female",34,"Asian","ysyknb"
"1ip3k464",0.695652173913043,0.0833333333333333,0.833333333333333,0.666666666666667,0.0833333333333333,0.916666666666667,0.321428571428571,0.133333333333333,0.933333333333333,0.546666666666667,0.102564102564103,0.897435897435897,796.975434785608,712.811666662068,733.874166672952,855.009583331897,742.240833334411,748.786250003226,830.135714284552,730.39633333489,874.741666665068,851.290625001639,672.826428577537,819.065624998984,926.897499997722,884.063333337609,804.59105262784,0,0,0,0,"Male",35,"White - not of Hispanic Origin","izpglr"
"1krfn3nk",0.625,0.166666666666667,0.75,0.583333333333333,0.166666666666667,0.833333333333333,0.413793103448276,0.0625,0.8125,0.532467532467532,0.125,0.8,480.006874985217,476.857916762432,505.58333331719,473.217291738062,444.401666638441,468.577083277826,513.995862068159,471.924687561113,508.290312485769,496.433333338549,452.62944439633,479.255000062819,464.764500083402,511.835000050875,515.5211764333,0,0,0,0,"Female",43,"White - not of Hispanic Origin","hwsums"
"1p5enr98",0.521739130434783,0.166666666666667,0.7,0.545454545454545,0.0833333333333333,0.818181818181818,0.566666666666667,0.0625,0.9375,0.546666666666667,0.1,0.837837837837838,835.840217394592,787.127083337206,686.791000000085,878.725909090876,727.529583331489,771.042727267327,935.673999998835,776.169999999183,825.315000001865,758.24666666449,920.487727281976,869.773333327127,889.469000007375,904.629411764772,976.270769227995,0,0,0,0,"Female",40,"Hispanic or Latino","qgjmfh"
"1t2je5zr",0.181818181818182,0.0909090909090909,0.909090909090909,0.125,0,0.818181818181818,0.166666666666667,0,0.8125,0.157894736842105,0.0256410256410256,0.842105263157895,739.545454545455,750.181818181818,682.363636363636,710.875,740,654.545454545455,789.9,647.375,781.9375,826.5,720.222222222222,749,705.428571428571,796.4,788.6,0,0,0,0,"Male",44,"White - not of Hispanic Origin","ketezg"
"27j0t8d4",0.166666666666667,0,0.75,0.260869565217391,0.0909090909090909,0.7,0.28125,0,1,0.240506329113924,0.0263157894736842,0.842105263157895,671.610208333126,674.775833333115,668.019999997341,807.347608696664,742.682727274686,855.491000002075,875.344062500517,680.051333334025,791.861562496706,666.208750000805,672.69049999959,868.757500000355,785.673529413009,846.126666667664,886.776956522068,0,0,0,0,"Female",38,"White - not of Hispanic Origin","unopyq"
"2fxiswvf",0.625,0.0833333333333333,0.916666666666667,0.666666666666667,0.0833333333333333,0.916666666666667,0.185185185185185,0,1,0.48,0.0512820512820513,0.947368421052632,958.399999998315,850.642916661551,890.218750001319,745.480208330264,716.866250001961,813.107916672986,1102.67648148281,892.424333328382,914.453928568816,876.937999999305,1094.16999999666,764.457812494584,707.525000001624,1091.95399999735,1105.11340909315,0,0,0,0,"Female",35,"White - not of Hispanic Origin","nhkqcx"
